               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.046398,            0.068399,           0.0087373,             0.47916,             0.48111,             0.47167,             0.21108,            0.048766,             0.02457,           0.0076396,            0.006898,            0.006898,            0.006898
                  96,            0.046457,            0.068097,           0.0085256,             0.67335,             0.40295,             0.47591,              0.1926,            0.048679,            0.025063,           0.0075383,            0.006865,            0.006865,            0.006865
                  97,             0.04603,            0.068643,           0.0088675,             0.69149,             0.32518,             0.44928,             0.20093,             0.04825,             0.02485,           0.0076555,            0.006832,            0.006832,            0.006832
                  98,            0.046224,            0.066477,           0.0086182,             0.60082,             0.40606,             0.47403,             0.21129,            0.047684,            0.024784,           0.0080944,            0.006799,            0.006799,            0.006799
                  99,            0.046512,            0.067989,           0.0084752,             0.60024,             0.46562,             0.48765,             0.21986,            0.047053,            0.024523,           0.0085384,            0.006766,            0.006766,            0.006766
                 100,            0.045799,            0.063753,           0.0081589,             0.56436,             0.38661,             0.43065,             0.17876,            0.047862,            0.025184,           0.0091953,            0.006733,            0.006733,            0.006733
                 101,            0.045597,            0.066179,           0.0087916,             0.64476,             0.41653,             0.47317,             0.19282,            0.047639,            0.025137,           0.0097656,              0.0067,              0.0067,              0.0067
                 102,            0.045814,            0.067228,           0.0086979,              0.5345,             0.46825,             0.48635,             0.21082,            0.046742,            0.024483,             0.00923,            0.006667,            0.006667,            0.006667
                 103,            0.045774,            0.064761,            0.008549,             0.55682,             0.49678,             0.49669,             0.20078,            0.047717,            0.024488,           0.0083565,            0.006634,            0.006634,            0.006634
                 104,            0.045925,            0.067327,           0.0084893,             0.57362,             0.55703,             0.51731,             0.20989,            0.048178,            0.024172,           0.0080799,            0.006601,            0.006601,            0.006601
                 105,            0.046156,            0.066569,           0.0086954,             0.54548,             0.54235,             0.48069,             0.19729,            0.048763,            0.024756,           0.0087447,            0.006568,            0.006568,            0.006568
                 106,            0.046125,            0.066167,           0.0086229,             0.62966,             0.43752,             0.46842,             0.19795,            0.049041,            0.024871,           0.0089651,            0.006535,            0.006535,            0.006535
                 107,            0.045887,             0.06746,           0.0078382,             0.61864,             0.38772,             0.44545,             0.17504,            0.049005,            0.025082,           0.0085457,            0.006502,            0.006502,            0.006502
                 108,            0.045542,            0.066371,           0.0081933,             0.63333,             0.45252,             0.47425,             0.18037,            0.049432,            0.024662,           0.0088524,            0.006469,            0.006469,            0.006469
                 109,            0.045479,            0.068571,           0.0079127,              0.5998,             0.41304,             0.47904,             0.18556,            0.048202,            0.025081,           0.0082004,            0.006436,            0.006436,            0.006436
                 110,            0.045012,            0.064267,           0.0086694,             0.51345,              0.5122,             0.52439,             0.19775,            0.048034,            0.025239,           0.0085405,            0.006403,            0.006403,            0.006403
                 111,            0.045821,            0.067448,           0.0077006,             0.56716,             0.50206,             0.50976,             0.21227,             0.04842,            0.025055,           0.0077174,             0.00637,             0.00637,             0.00637
                 112,            0.045284,             0.06376,           0.0081279,             0.50153,             0.42029,             0.41701,             0.18143,            0.049695,            0.025602,           0.0079205,            0.006337,            0.006337,            0.006337
                 113,            0.045333,             0.06581,           0.0081495,             0.62732,             0.43125,             0.47186,             0.21422,            0.048393,            0.025124,           0.0089967,            0.006304,            0.006304,            0.006304
                 114,            0.045286,            0.063552,           0.0080429,             0.51125,             0.47196,             0.47523,             0.20753,            0.048888,             0.02483,           0.0086421,            0.006271,            0.006271,            0.006271
                 115,            0.045456,            0.065655,           0.0079528,             0.56466,              0.4902,             0.51331,             0.20734,            0.048761,            0.024418,           0.0081964,            0.006238,            0.006238,            0.006238
                 116,            0.045607,            0.065255,           0.0079916,             0.54705,              0.4238,             0.42981,             0.18245,            0.049456,            0.024733,             0.00841,            0.006205,            0.006205,            0.006205
                 117,            0.045106,             0.06461,           0.0081488,             0.49971,             0.46297,             0.45065,             0.18472,            0.048645,            0.024882,           0.0080444,            0.006172,            0.006172,            0.006172
                 118,            0.044871,            0.066647,           0.0077355,             0.45805,             0.44454,             0.46653,              0.2044,            0.047974,             0.02463,           0.0084228,            0.006139,            0.006139,            0.006139
                 119,            0.045418,            0.068547,           0.0080152,             0.50538,             0.47478,             0.44307,             0.18844,            0.049084,            0.024533,           0.0081339,            0.006106,            0.006106,            0.006106
                 120,            0.045423,            0.062881,           0.0083533,             0.51153,             0.48912,             0.45845,             0.19352,            0.048131,            0.024376,           0.0074382,            0.006073,            0.006073,            0.006073
                 121,            0.044983,            0.066498,           0.0080987,             0.60174,             0.36847,             0.43533,              0.1814,            0.049038,             0.02427,           0.0076566,             0.00604,             0.00604,             0.00604
                 122,            0.045489,            0.064361,           0.0081559,             0.61253,             0.39635,             0.42709,             0.17827,             0.04884,            0.024256,           0.0074524,            0.006007,            0.006007,            0.006007
                 123,            0.045129,              0.0667,           0.0079218,             0.43608,             0.47986,             0.41533,             0.16789,            0.048672,            0.024771,           0.0079019,            0.005974,            0.005974,            0.005974
                 124,            0.045072,            0.066437,           0.0079411,             0.56605,             0.46419,             0.48582,             0.18971,            0.048011,            0.025012,           0.0079359,            0.005941,            0.005941,            0.005941
                 125,            0.045012,            0.068411,           0.0076326,             0.57756,             0.49835,             0.50709,             0.20087,            0.047263,            0.024447,            0.006653,            0.005908,            0.005908,            0.005908
